x,y,u,v
0.125,0.15,0.213219155182071,0.0750698093834435
0.125,0.175,0.169743857874778,0.0716842975443104
0.125,0.2,0.123076336131221,0.0613253932838117
0.125,0.225,0.0817772236272727,0.0451927525572358
0.125,0.25,0.0512101555195718,0.0286097605900561
0.125,0.275,0.030677122188793,0.0138169495522898
0.125,0.3,0.0173992637094597,0.00266981200115695
0.125,0.325,0.00933840262292385,-0.00558662444480629
0.125,0.35,0.00459585763939052,-0.0112657040593924
0.125,0.375,0.00158510984734602,-0.0147898723761637
0.125,0.4,-0.000273577996870591,-0.017269968782767
0.125,0.425,-0.00142252615957239,-0.0188182491681437
0.125,0.45,-0.00213258664684262,-0.019670514955238
0.125,0.475,-0.00259208927180084,-0.0199773950263123
0.125,0.5,-0.0028984760886402,-0.0199718648058107
0.125,0.525,-0.00313485744043392,-0.0196731127878578
0.125,0.55,-0.0033295314729208,-0.0191853572613269
0.125,0.575,-0.00351112188972563,-0.0185153540225717
0.125,0.6,-0.00368671845755751,-0.0177164041664637
0.125,0.625,-0.00386639230458577,-0.0167874628036423
0.125,0.65,-0.00404563866716265,-0.0157585303926907
0.125,0.675,-0.00422341254381587,-0.014628738907116
0.125,0.7,-0.00438856139239064,-0.0134179042522763
0.125,0.725,-0.00453240907140936,-0.0121303577683187
0.125,0.75,-0.00463881436937793,-0.0107848342115459
0.125,0.775,-0.0046928165877882,-0.00939390137130055
0.125,0.8,-0.00467439715265805,-0.00798080093977924
0.125,0.825,-0.00456363554764499,-0.00656885875987239
0.125,0.85,-0.00433917949588452,-0.00518886165238024
0.125,0.875,-0.00397970117141205,-0.00387723485403718
0.125,0.9,-0.00346973474284438,-0.00267202849721299
0.125,0.925,-0.00279730231556865,-0.00162485002917803
0.125,0.95,-0.00197175691422382,-0.000777162919278413
0.125,0.975,-0.00101910779138634,-0.00021240744859025
0.125,1,0,0
0.15,0,0,0
0.15,0.025,0.0829475346824474,0.00546849102767232
0.15,0.05,0.152301827822753,0.0191574829868104
0.15,0.075,0.202483278645606,0.0371951165199766
0.15,0.1,0.228548564360066,0.0547176377970563
0.15,0.125,0.230404626131865,0.0691293231147718
0.15,0.15,0.210360466667488,0.0764944079767271
0.15,0.175,0.175588773438116,0.0758728975580629
0.15,0.2,0.135941754275908,0.0679160537428699
0.15,0.225,0.0977965950206788,0.0546471740294325
0.15,0.25,0.0667481778284272,0.0398177393133186
0.15,0.275,0.0436632143225563,0.025270600740902
0.15,0.3,0.0275970648708341,0.0133100620374931
0.15,0.325,0.0168485682433657,0.00395482688518628
0.15,0.35,0.00991970487473042,-0.00324898075476585
0.15,0.375,0.00532376042381787,-0.00841656442068005
0.15,0.4,0.00223707030038827,-0.0121769068293132
0.15,0.425,0.000193814152442341,-0.0147876559592291
0.15,0.45,-0.00117876906191634,-0.0165187616636131
0.15,0.475,-0.00212621578223789,-0.0175548399157641
0.15,0.5,-0.00280673478935735,-0.0181347505630345
0.15,0.525,-0.00332750276385202,-0.0183196711093638
0.15,0.55,-0.00375107697512175,-0.0182115988034176
0.15,0.575,-0.00411837560540568,-0.0178496821756341
0.15,0.6,-0.0044518614964871,-0.017293987998144
0.15,0.625,-0.00476714390569692,-0.0165614624201803
0.15,0.65,-0.0050662068402332,-0.0156861542244904
0.15,0.675,-0.00534971303853043,-0.0146776326245989
0.15,0.7,-0.00560733703287354,-0.013559137007787
0.15,0.725,-0.00582993413764195,-0.0123402350122356
0.15,0.75,-0.00599848835645912,-0.0110421444990446
0.15,0.775,-0.00609599318904803,-0.00967963909423183
0.15,0.8,-0.00609698117225622,-0.0082773134720656
0.15,0.825,-0.00597850877961773,-0.00685936059907999
0.15,0.85,-0.00571176739662114,-0.00545731865084904
0.15,0.875,-0.00527285052393315,-0.00410839730208039
0.15,0.9,-0.00463576830642969,-0.00285371123158322
0.15,0.925,-0.00378848697688059,-0.00174697880284758
0.15,0.95,-0.00271979161944648,-0.000842834031775624
0.15,0.975,-0.00145129447614352,-0.000229345785276425
0.15,1,0,0
0.175,0,0,0
0.175,0.025,0.0728474188800558,0.0049677056118062
0.175,0.05,0.136240106060157,0.0176493729455623
0.175,0.075,0.184069670164981,0.0351307645376998
0.175,0.1,0.212212856243809,0.0524179358066058
0.175,0.125,0.218830937751672,0.0675813847903317
0.175,0.15,0.206283040880284,0.0764474706168831
0.175,0.175,0.179072848047726,0.0781419609900353
0.175,0.2,0.145281448507938,0.0731999228373563
0.175,0.225,0.110882082700975,0.0624558491173684
0.175,0.25,0.0806509906735185,0.049629310912254
0.175,0.275,0.0567021364075426,0.0360677619214241
0.175,0.3,0.0387781440962033,0.023992120759807
0.175,0.325,0.0258197361614602,0.013932038279488
0.175,0.35,0.0167093633438708,0.00571669216507459
0.175,0.375,0.0103256497023406,-0.000699956633905416
0.175,0.4,0.00587789961847896,-0.00557339938699551
0.175,0.425,0.00278021085898262,-0.00919485350551755
0.175,0.45,0.000610599738967972,-0.0118322802670658
0.175,0.475,-0.000971345638751886,-0.013646573211264
0.175,0.5,-0.00214428118217669,-0.0148859316974198
0.175,0.525,-0.00305542223644117,-0.0156256696891179
0.175,0.55,-0.00378739221437492,-0.0159879890697615
0.175,0.575,-0.00440932351538736,-0.0160193619008298
0.175,0.6,-0.00495371794114457,-0.0158002821227201
0.175,0.625,-0.00545056401892203,-0.0153513014753878
0.175,0.65,-0.005905785207074,-0.0147202715994338
0.175,0.675,-0.00632625605706434,-0.013919514913812
0.175,0.7,-0.00670265237895232,-0.0129806033862543
0.175,0.725,-0.00702690455272336,-0.011914734223573
0.175,0.75,-0.00727894047668484,-0.0107470683665961
0.175,0.775,-0.00743903025955649,-0.00949318605835248
0.175,0.8,-0.00747914714863917,-0.00817861256282633
0.175,0.825,-0.00737066331580411,-0.00682792311697363
0.175,0.85,-0.00708108468123972,-0.00547215438054203
0.175,0.875,-0.00657777577202923,-0.00414986653395523
0.175,0.9,-0.00583027979107217,-0.00290259335998661
0.175,0.925,-0.00481171027746603,-0.00178916465803275
0.175,0.95,-0.00350407291750538,-0.00086942778644559
0.175,0.975,-0.00189979852575916,-0.000239113682262237
0.175,1,0,0
0.2,0,0,0
0.2,0.025,0.0640023799393673,0.0044391787952055
0.2,0.05,0.121149458040172,0.0161498549637152
0.2,0.075,0.166440897155563,0.0323415378293593
0.2,0.1,0.195242283850672,0.0493495643705127
0.2,0.125,0.20614312629573,0.0645561675679763
0.2,0.15,0.199663017350027,0.0746416510563983
0.2,0.175,0.17964279336213,0.0785773996310405
0.2,0.2,0.151969546900105,0.0762062411455452
0.2,0.225,0.121567523945956,0.0685017641296439
0.2,0.25,0.0933260794241533,0.0578808955015237
0.2,0.275,0.0691008187846536,0.0459163859569472
0.2,0.3,0.0499759124334325,0.0343414266381114
0.2,0.325,0.0352945331335044,0.0239746826312149
0.2,0.35,0.0243624423409023,0.0151258361481458
0.2,0.375,0.0163649860420407,0.00783719875101385
0.2,0.4,0.0105365666198237,0.00204830659203021
0.2,0.425,0.00630297437428877,-0.0024520265744924
0.2,0.45,0.00321167152964933,-0.00593205196090829
0.2,0.475,0.000901447651865287,-0.0085284345462957
0.2,0.5,-0.000860915558206058,-0.0104456338733431
0.2,0.525,-0.00224375271862778,-0.0117844213414137
0.2,0.55,-0.00336142964719621,-0.0126669760452368
0.2,0.575,-0.00429996650002319,-0.0131579153186045
0.2,0.6,-0.00511053247655167,-0.0133401622439808
0.2,0.625,-0.00583269260704416,-0.0132485274700359
0.2,0.65,-0.00648232578436072,-0.0129331704672573
0.2,0.675,-0.00707139826454862,-0.0124157189312161
0.2,0.7,-0.00759438545627892,-0.01173027815729
0.2,0.725,-0.00804520032172018,-0.010892530421123
0.2,0.75,-0.00840329478874663,-0.00992915660709542
0.2,0.775,-0.00864859050897876,-0.00885663939028143
0.2,0.8,-0.008749033659263,-0.00770119174223051
0.2,0.825,-0.00867380286035049,-0.0064858869439279
0.2,0.85,-0.00838261572039444,-0.00524250736505945
0.2,0.875,-0.00783904683147376,-0.00400722088316617
0.2,0.9,-0.00699933012830516,-0.0028244470615774
0.2,0.925,-0.00583013055102514,-0.00175186446038537
0.2,0.95,-0.00429088139217249,-0.00085648729504752
0.2,0.975,-0.00235902886359783,-0.000235579868946402
0.2,1,0,0
0.225,0,0,0
0.225,0.025,0.055881856456716,0.00388848033155984
0.225,0.05,0.107376590957425,0.0143468057605102
0.225,0.075,0.149691108442395,0.0293581115383621
0.225,0.1,0.179015762081725,0.0455283575559806
0.225,0.125,0.192965868970766,0.0608392757527912
0.225,0.15,0.191915283078892,0.07193330190475
0.225,0.175,0.178007887150528,0.0777694663435283
0.225,0.2,0.15596084141166,0.0779758503704981
0.225,0.225,0.129908575351522,0.0729028170272353
0.225,0.25,0.103959902731253,0.0646253217825852
0.225,0.275,0.0805407142658184,0.0543527723585212
0.225,0.3,0.0607981057894079,0.0437347411557506
0.225,0.325,0.0449551321053226,0.0335968435480369
0.225,0.35,0.032589035367785,0.0245642472977753
0.225,0.375,0.0231662500070275,0.0167759803421907
0.225,0.4,0.0160544590177833,0.0103116557270104
0.225,0.425,0.0106758852895,0.00507404984343112
0.225,0.45,0.00661095949964897,0.000854206675125379
0.225,0.475,0.0034889105893118,-0.00246123426692157
0.225,0.5,0.00106564260109128,-0.00503761444373593
0.225,0.525,-0.000861826943627634,-0.00697961706076511
0.225,0.55,-0.00242543794506068,-0.0084109544320688
0.225,0.575,-0.00373778255035439,-0.00939784790821828
0.225,0.6,-0.00486118627605568,-0.010030265884561
0.225,0.625,-0.00585027254453436,-0.0103473853124112
0.225,0.65,-0.0067283888342474,-0.0104064473021855
0.225,0.675,-0.00751611818342953,-0.0102322942394568
0.225,0.7,-0.00821187306819427,-0.00986385468664441
0.225,0.725,-0.00881310283750508,-0.00931857210261827
0.225,0.75,-0.0093003255839701,-0.0086248177559354
0.225,0.775,-0.00965299130539531,-0.0077995494197211
0.225,0.8,-0.00983759742464136,-0.00686795181212975
0.225,0.825,-0.00981895216741249,-0.0058526695309182
0.225,0.85,-0.00955272987096999,-0.00478288090288819
0.225,0.875,-0.00899309570175044,-0.00369431461035895
0.225,0.9,-0.00808904055013673,-0.00262926241934135
0.225,0.925,-0.00679000326064802,-0.00164602708441523
0.225,0.95,-0.0050430270939579,-0.000812438606713872
0.225,0.975,-0.00279786757373744,-0.00022610222883087
0.225,1,0,0
0.25,0,0,0
0.25,0.025,0.0488865930684194,0.00341872220357663
0.25,0.05,0.0949022882945578,0.0128022744006437
0.25,0.075,0.134188873307995,0.0263569652719903
0.25,0.1,0.162982121148974,0.0416720787763663
0.25,0.125,0.179288775459329,0.0565417450989939
0.25,0.15,0.182408468849552,0.0683073327130366
0.25,0.175,0.173964524286559,0.075755480637437
0.25,0.2,0.157245015059386,0.0781062538268215
0.25,0.225,0.135495295020341,0.0757105215221709
0.25,0.25,0.112510354289719,0.0697549780104622
0.25,0.275,0.0904170759970736,0.0613964502672826
0.25,0.3,0.0708898713780009,0.0520578086703787
0.25,0.325,0.0544257745971667,0.0425738987694752
0.25,0.35,0.0410501795299869,0.0337204971271887
0.25,0.375,0.030439526900663,0.0257755466742202
0.25,0.4,0.0221512926015447,0.0188971576038586
0.25,0.425,0.0156951738475922,0.0130966516589461
0.25,0.45,0.0106669847035886,0.00826657362491237
0.25,0.475,0.00672615900871305,0.00432068306718804
0.25,0.5,0.00360370501398717,0.00113577693384041
0.25,0.525,0.00109132904047643,-0.00138727467424059
0.25,0.55,-0.000966516736105487,-0.00336401318380813
0.25,0.575,-0.00269248150334199,-0.00486409190724982
0.25,0.6,-0.00416824665040813,-0.00597188174528033
0.25,0.625,-0.00545682172982833,-0.00673456621791332
0.25,0.65,-0.0065940254662711,-0.00720922097863953
0.25,0.675,-0.0076061695078743,-0.00742655177921358
0.25,0.7,-0.00849891305232712,-0.0074260277313312
0.25,0.725,-0.00927259829722341,-0.00722795839334111
0.25,0.75,-0.00991078262845047,-0.00686073005203656
0.25,0.775,-0.0103931486529742,-0.00634096243647662
0.25,0.8,-0.0106852561778857,-0.00569308448567531
0.25,0.825,-0.0107492295268681,-0.00493662703610642
0.25,0.85,-0.0105351371472189,-0.00409952660672467
0.25,0.875,-0.00999067388088313,-0.0032127641313404
0.25,0.9,-0.00905276393617264,-0.00231769386089789
0.25,0.925,-0.00765888689306306,-0.00146821099141171
0.25,0.95,-0.00573533925052281,-0.000732114256042672
0.25,0.975,-0.00321126409987547,-0.000204675815002979
0.25,1,0,0
0.275,0,0,0
0.275,0.025,0.04262561287559,0.00295701536832771
0.275,0.05,0.0837377638506571,0.0112186335665209
0.275,0.075,0.119889842259247,0.0235051825180479
0.275,0.1,0.148020681854337,0.0377204641089958
0.275,0.125,0.165757322739012,0.0521696506636973
0.275,0.15,0.17235984064303,0.0642914093807211
0.275,0.175,0.168402399792139,0.0729946238440015
0.275,0.2,0.156365158473068,0.0772739515217251
0.275,0.225,0.138773137036443,0.0771271538453565
0.275,0.25,0.118757485520021,0.0734615149972286
0.275,0.275,0.0985568613666186,0.0670311141784122
0.275,0.3,0.0797653803554087,0.0591888742124377
0.275,0.325,0.0632981690614758,0.050675528317093
0.275,0.35,0.0493621664554646,0.0423183986111134
0.275,0.375,0.0379120639068944,0.0345070958152441
0.275,0.4,0.0286476398425747,0.0274770033168754
0.275,0.425,0.0212213477834994,0.0213323720160411
0.275,0.45,0.0152907831859344,0.0160545108354466
0.275,0.475,0.0105413934870537,0.0115998432820688
0.275,0.5,0.00671894971911145,0.00788111970763664
0.275,0.525,0.00359785202528131,0.00482441001541041
0.275,0.55,0.00102140313442101,0.00232425554756508
0.275,0.575,-0.00114995135155548,0.000318942110862622
0.275,0.6,-0.00300431854313379,-0.00127354287003833
0.275,0.625,-0.00461953845115058,-0.0024995225830549
0.275,0.65,-0.00603791256970917,-0.00341831692257918
0.275,0.675,-0.00729633671423083,-0.00406093197156325
0.275,0.7,-0.00840485314820199,-0.00446871794931991
0.275,0.725,-0.00937016287923646,-0.00466225911151408
0.275,0.75,-0.010177813805481,-0.00466983454392312
0.275,0.775,-0.010810171741065,-0.00450721237240785
0.275,0.8,-0.0112318337007669,-0.00419628894451541
0.275,0.825,-0.0114034659947756,-0.00375417416148275
0.275,0.85,-0.011270279695841,-0.0032043778710455
0.275,0.875,-0.0107728473597748,-0.00257367612588417
0.275,0.9,-0.00983784274108622,-0.00189860297959687
0.275,0.925,-0.00838750655254412,-0.00122739801970481
0.275,0.95,-0.00633065404189554,-0.000624788298601502
0.275,0.975,-0.00357190163439323,-0.000178376831382231
0.275,1,0,0
0.3,0,0,0
0.3,0.025,0.0372412629759836,0.00258854722963096
0.3,0.05,0.073800246014147,0.00991528066258605
0.3,0.075,0.106896903360418,0.0209005906175095
0.3,0.1,0.133717876031073,0.0340660113432527
0.3,0.125,0.152273083095293,0.0477617568398142
0.3,0.15,0.161321914118225,0.0599797718715816
0.3,0.175,0.161173672247126,0.069521998842557
0.3,0.2,0.153314726014507,0.0753196184164229
0.3,0.225,0.139699781250783,0.0772345968670403
0.3,0.25,0.12293381973659,0.0756705401527988
0.3,0.275,0.10491082677757,0.0712749545677238
0.3,0.3,0.0874104441670798,0.0650652517994774
0.3,0.325,0.0713334580913688,0.0577829430314808
0.3,0.35,0.0572602526040219,0.0502015974616875
0.3,0.375,0.0452710614560398,0.0427763413101231
0.3,0.4,0.0352779563625174,0.0358421609177735
0.3,0.425,0.0270525233262252,0.0295597626121335
0.3,0.45,0.0203218165793087,0.0240044428710837
0.3,0.475,0.0148269569786338,0.0191734973509718
0.3,0.5,0.0103243089004489,0.0150214048535485
0.3,0.525,0.00660625840323004,0.0114963909968531
0.3,0.55,0.00350342302286426,0.00851897719839419
0.3,0.575,0.000879716034838348,0.00603227726652257
0.3,0.6,-0.00136919772561491,0.00396610983074468
0.3,0.625,-0.00332357126006524,0.0022731460702712
0.3,0.65,-0.00503937948428564,0.000898202799974499
0.3,0.675,-0.00655663659422953,-0.000191698139562059
0.3,0.7,-0.00789582590704386,-0.0010357692701391
0.3,0.725,-0.00906564611092018,-0.00165542035483965
0.3,0.75,-0.0100586897982264,-0.00207726307016326
0.3,0.775,-0.0108571776228972,-0.00231530670357815
0.3,0.8,-0.0114292096514467,-0.00238885868781425
0.3,0.825,-0.0117318704853327,-0.00231031967499689
0.3,0.85,-0.0117093702971712,-0.00209899477319262
0.3,0.875,-0.0112933066456158,-0.00177440059949576
0.3,0.9,-0.0104028025005597,-0.00136694783164353
0.3,0.925,-0.0089435055883569,-0.000916729034622895
0.3,0.95,-0.0068076121805479,-0.000480902618462039
0.3,0.975,-0.00387334501736378,-0.000140257766942169
0.3,1,0,0
0.325,0,0,0
0.325,0.025,0.0324754849964363,0.00223766354799134
0.325,0.05,0.0649686161225222,0.00866642940811479
0.325,0.075,0.0950856980852718,0.0185232247822164
0.325,0.1,0.120549338721324,0.0305677105180091
0.325,0.125,0.139306788974544,0.0435469829549301
0.325,0.15,0.150230858690001,0.0556102134729867
0.325,0.175,0.153041277488719,0.0657355126719097
0.325,0.2,0.148760474140907,0.0727547472986887
0.325,0.225,0.138742719479413,0.0763590452457069
0.325,0.25,0.125071319824549,0.0767291071046522
0.325,0.275,0.109472255602897,0.074219689433111
0.325,0.3,0.0935166160516752,0.069700992348121
0.325,0.325,0.0783007367874278,0.0637663826364092
0.325,0.35,0.064437006888544,0.0571705378075687
0.325,0.375,0.0522721406759687,0.0503706189773037
0.325,0.4,0.0418142523757338,0.043761968386986
0.325,0.425,0.0329937486046606,0.0375641536248502
0.325,0.45,0.0256106002714165,0.0319065209991487
0.325,0.475,0.0194619178257574,0.0268489849936732
0.325,0.5,0.0143411541131035,0.0223751601816105
0.325,0.525,0.0100539937504715,0.0184726854337476
0.325,0.55,0.00644473724621538,0.0150791188681851
0.325,0.575,0.00337105411071555,0.0121570117521506
0.325,0.6,0.000730853410741264,0.00964162757827685
0.325,0.625,-0.00156835419566814,0.00749569452577585
0.325,0.65,-0.0035842579938791,0.00566440875808739
0.325,0.675,-0.00536804505969945,0.00411951405193192
